      Pres    T90(1)    T90(2)    Sal(1)   Cond(1)    Sal(2)   Cond(2)   OxCur        OXYG     Trans      Flur Altimeter      Time       wocecode
    2841.5   1.41110   1.41750  34.89184  31.37405  34.89240  31.38006  1.749700     6.418   -0.9862    0.0115     21.73   3071.12  2222222111111
    2841.5   1.41130   1.41760  34.89201  31.37436  34.89250  31.38024  1.749700     6.417   -0.0000   -0.0000     21.76   3071.17  2222222114111
    2841.5   1.41140   1.41760  34.89274  31.37505  34.89337  31.38095  1.749700     6.417   -0.9862    0.0115     21.76   3071.21  2222222111111
    2841.5   1.41210   1.41700  34.89238  31.37538  34.89311  31.38023  1.749700     6.417   -0.0000   -0.0000     21.76   3071.25  2222222114111
    2841.6   1.41190   1.41750  34.89188  31.37481  34.89206  31.37983  1.749700     6.417   -0.9862    0.0114     21.76   3071.29  2222222111111
    2841.6   1.41080   1.41700  34.89248  31.37435  34.89271  31.37993  1.749700     6.418   -0.0000   -0.0000     21.78   3071.33  2222222114111
    2841.6   1.41080   1.41680  34.89193  31.37392  34.89378  31.38063  1.749700     6.418   -0.0000   -0.0000     21.81   3071.38  2222222114111
    2841.7   1.41010   1.41760  34.89241  31.37371  34.89169  31.37965  1.749700     6.418   -0.0000   -0.0000     21.81   3071.42  2222222114111
    2841.7   1.41010   1.41810  34.89232  31.37365  34.89203  31.38037  1.749700     6.418   -0.0000   -0.0000     21.81   3071.46  2222222114111
    2841.8   1.40990   1.41840  34.89228  31.37346  34.89257  31.38109  1.749700     6.418   -0.9862    0.0114     21.81   3071.50  2222222111111
    2841.8   1.41050   1.41900  34.89241  31.37410  34.89215  31.38128  1.749700     6.418   -0.9862    0.0113     21.81   3071.54  2222222111111
    2841.8   1.41110   1.41920  34.89276  31.37492  34.89243  31.38170  1.749700     6.418   -0.9862    0.0113     21.81   3071.58  2222222111111
    2841.9   1.41220   1.41940  34.89313  31.37619  34.89242  31.38188  1.749700     6.418   -0.9862    0.0112     21.81   3071.62  2222222111111
    2841.9   1.41290   1.41830  34.89307  31.37677  34.89369  31.38197  1.749700     6.417   -0.9862    0.0112     21.81   3071.67  2222222111111
    2842.0   1.41360   1.41580  34.89340  31.37766  34.89578  31.38149  1.749700     6.417   -0.9862    0.0112     21.78   3071.71  2222222111111
    2842.0   1.41450   1.41350  34.89313  31.37824  34.89656  31.38013  1.749700     6.417   -0.9862    0.0112     21.78   3071.75  2222222111111
    2842.1   1.41460   1.41210  34.89239  31.37775  34.89420  31.37704  1.749700     6.417   -0.9862    0.0111     21.78   3071.79  2222222111111
    2842.1   1.41400   1.41030  34.89222  31.37711  34.89409  31.37540  1.749700     6.417   -0.9862    0.0111     21.76   3071.83  2222222111111
    2842.1   1.41350   1.41000  34.89180  31.37635  34.89278  31.37410  1.749700     6.418   -0.9862    0.0111     21.76   3071.88  2222222111111
    2842.2   1.41240   1.40990  34.89208  31.37564  34.89199  31.37339  1.749700     6.418   -0.9862    0.0111     21.71   3071.92  2222222111111
    2842.2   1.41170   1.41070  34.89178  31.37481  34.89091  31.37324  1.749700     6.418   -0.9862    0.0111     21.68   3071.96  2222222111111
    2842.3   1.41060   1.41130  34.89183  31.37391  34.89121  31.37402  1.749700     6.418   -0.9862    0.0111     21.68   3072.00  2222222111111
    2842.3   1.40990   1.41190  34.89208  31.37352  34.89143  31.37474  1.749700     6.418   -0.9862    0.0111     21.68   3072.04  2222222111111
    2842.4   1.41030   1.41210  34.89272  31.37441  34.89244  31.37575  1.749700     6.418   -0.9862    0.0111     21.66   3072.08  2222222111111
    2842.5   1.41110   1.41090  34.89309  31.37542  34.89419  31.37613  1.749700     6.418   -0.9862    0.0110     21.59   3072.12  2222222111111
    2842.5   1.41130   1.41020  34.89255  31.37518  34.89365  31.37511  1.749700     6.418   -0.9862    0.0110     21.56   3072.17  2222222111111
    2842.6   1.41110   1.40970  34.89234  31.37486  34.89255  31.37381  1.749700     6.418   -0.9862    0.0110     21.56   3072.21  2222222111111
    2842.6   1.41180   1.40890  34.89228  31.37544  34.89285  31.37338  1.749700     6.418   -0.9862    0.0110     21.56   3072.25  2222222111111
    2842.7   1.41210   1.40890  34.89248  31.37588  34.89260  31.37320  1.749700     6.418   -0.9862    0.0110     21.51   3072.29  2222222111111
    2842.7   1.41190   1.40880  34.89212  31.37544  34.89254  31.37308  1.749700     6.418   -0.9862    0.0110     21.44   3072.33  2222222111111
    2842.8   1.41130   1.40910  34.89157  31.37450  34.89198  31.37291  1.749700     6.419   -0.9862    0.0110     21.42   3072.38  2222222111111
    2842.8   1.41080   1.40970  34.89199  31.37442  34.89154  31.37311  1.749700     6.419   -0.9862    0.0110     21.42   3072.42  2222222111111
    2842.9   1.41130   1.41050  34.89259  31.37537  34.89119  31.37354  1.749700     6.419   -0.9862    0.0110     21.42   3072.46  2222222111111
    2843.0   1.41190   1.41020  34.89302  31.37625  34.89206  31.37401  1.749700     6.419   -0.9862    0.0110     21.34   3072.50  2222222111111
    2843.0   1.41190   1.40970  34.89206  31.37551  34.89344  31.37470  1.749700     6.419   -0.9862    0.0110     21.27   3072.54  2222222111111
    2843.1   1.41150   1.40940  34.89176  31.37494  34.89285  31.37399  1.749700     6.419   -0.9862    0.0110     21.25   3072.58  2222222111111
    2843.1   1.41110   1.40930  34.89177  31.37462  34.89234  31.37352  1.749700     6.419   -0.9862    0.0110     21.25   3072.62  2222222111111
    2843.2   1.41060   1.40910  34.89226  31.37461  34.89238  31.37340  1.749700     6.419   -0.9862    0.0110     21.25   3072.67  2222222111111
    2843.3   1.41110   1.40910  34.89248  31.37524  34.89213  31.37322  1.749700     6.419   -0.9862    0.0110     21.15   3072.71  2222222111111
    2843.3   1.41140   1.40950  34.89237  31.37543  34.89191  31.37341  1.749700     6.419   -0.9862    0.0110     21.05   3072.75  2222222111111
    2843.4   1.41140   1.40990  34.89234  31.37544  34.89124  31.37325  1.749700     6.419   -0.9862    0.0110     21.05   3072.79  2222222111111
    2843.4   1.41130   1.41050  34.89227  31.37531  34.89154  31.37403  1.749700     6.419   -0.9862    0.0110     21.05   3072.83  2222222111111
    2843.5   1.41130   1.41120  34.89231  31.37537  34.89129  31.37446  1.749700     6.419   -0.9862    0.0110     21.05   3072.88  2222222111111
    2843.6   1.41100   1.41130  34.89191  31.37480  34.89167  31.37487  1.749700     6.419   -0.9862    0.0110     20.90   3072.92  2222222111111
    2843.6   1.41050   1.41220  34.89117  31.37380  34.89165  31.37566  1.749700     6.419   -0.9862    0.0110     20.83   3072.96  2222222111111
    2843.7   1.40900   1.41400  34.89171  31.37295  34.88989  31.37583  1.749700     6.420   -0.9862    0.0110     20.83   3073.00  2222222111111
    2843.8   1.40830   1.41490  34.89110  31.37188  34.89089  31.37745  1.749700     6.420   -0.9862    0.0110     20.83   3073.04  2222222111111
    2843.8   1.40730   1.41460  34.89151  31.37135  34.89278  31.37873  1.749700     6.420   -0.9862    0.0110     20.81   3073.08  2222222111111
    2843.9   1.40710   1.41490  34.89200  31.37160  34.89230  31.37862  1.749700     6.420   -0.9862    0.0110     20.63   3073.12  2222222111111
    2843.9   1.40830   1.41480  34.89310  31.37356  34.89288  31.37903  1.749700     6.420   -0.9862    0.0110     20.59   3073.17  2222222111111
    2844.0   1.41050   1.41480  34.89317  31.37554  34.89271  31.37892  1.749700     6.420   -0.9862    0.0110     20.59   3073.21  2222222111111
    2844.0   1.41170   1.41530  34.89265  31.37620  34.89121  31.37816 -0.000000    -0.000   -0.9862    0.0110     20.59   3073.25  2222222411111
    2844.1   1.41170   1.41570  34.89209  31.37576  34.89208  31.37924  1.749700     6.420   -0.9862    0.0110     20.51   3073.29  2222222111111
    2844.2   1.41050   1.41530  34.89139  31.37418  34.89371  31.38023  1.749700     6.420   -0.9862    0.0110     20.39   3073.33  2222222111111
    2844.2   1.40920   1.41430  34.89103  31.37278  34.89422  31.37979  1.749700     6.420   -0.9862    0.0110     20.34   3073.38  2222222111111
    2844.3   1.40840   1.41300  34.89099  31.37207  34.89461  31.37899  1.749700     6.420   -0.9862    0.0110     20.34   3073.42  2222222111111
    2844.3   1.40780   1.41220  34.89144  31.37193  34.89308  31.37708  1.749700     6.421   -0.9862    0.0110     20.34   3073.46  2222222111111
    2844.4   1.40750   1.41240  34.89142  31.37168  34.89197  31.37638  1.749700     6.421   -0.9862    0.0110     20.24   3073.50  2222222111111
    2844.4   1.40690   1.41460  34.89164  31.37135  34.88943  31.37627  1.749700     6.421   -0.9862    0.0110     20.12   3073.54  2222222111111
    2844.5   1.40670   1.41490  34.89221  31.37166  34.89143  31.37816  1.749700     6.421   -0.9862    0.0110     20.10   3073.58  2222222111111
    2844.5   1.40690   1.41440  34.89213  31.37179  34.89361  31.37950  1.749700     6.421   -0.9862    0.0110     20.10   3073.62  2222222111111
    2844.6   1.40710   1.41350  34.89213  31.37198  34.89394  31.37901  1.749700     6.421   -0.9862    0.0110     20.10   3073.67  2222222111111
    2844.6   1.40760   1.41240  34.89197  31.37231  34.89346  31.37768  1.749700     6.421   -0.9862    0.0110     19.98   3073.71  2222222111111
    2844.7   1.40760   1.41190  34.89210  31.37243  34.89308  31.37696  1.749700     6.421   -0.9862    0.0110     19.88   3073.75  2222222111111
    2844.8   1.40760   1.41190  34.89223  31.37256  34.89247  31.37649  1.749700     6.421   -0.9862    0.0110     19.85   3073.79  2222222111111
    2844.8   1.40770   1.41320  34.89202  31.37250  34.89095  31.37641  1.749700     6.421   -0.9862    0.0110     19.85   3073.83  2222222111111
    2844.9   1.40730   1.41560  34.89188  31.37205  34.88929  31.37718  1.749700     6.421   -0.9862    0.0110     19.85   3073.88  2222222111111
    2844.9   1.40700   1.41700  34.89171  31.37167  34.89014  31.37910  1.749700     6.421   -0.9862    0.0110     19.71   3073.92  2222222111111
    2844.9   1.40690   1.41580  34.89179  31.37167  34.89407  31.38125  1.749700     6.421   -0.9862    0.0110     19.61   3073.96  2222222111111
    2845.0   1.40670   1.41510  34.89191  31.37161  34.89420  31.38076  1.749700     6.421   -0.9862    0.0110     19.61   3074.00  2222222111111
    2845.0   1.40670   1.41700  34.89204  31.37173  34.89066  31.37957  1.749700     6.421   -0.9862    0.0110     19.61   3074.04  2222222111111
    2845.1   1.40690   1.41710  34.89173  31.37168  34.89243  31.38111  1.749700     6.421   -0.9862    0.0110     19.58   3074.08  2222222111111
    2845.1   1.40640   1.41750  34.89170  31.37123  34.89257  31.38159  1.749700     6.421   -0.9862    0.0110     19.41   3074.12  2222222111111
